age,sex,height_cm,weight_kg,activity_level,goal,target_calories
22,male,169.7,90.5,medium,weight_loss,2346
52,male,175.5,79.8,medium,weight_loss,2223
54,male,187.0,86.5,low,maintenance,2045
58,male,177.6,77.4,low,muscle_gain,2098
49,male,175.2,87.5,low,weight_loss,1799
61,male,174.7,72.8,low,maintenance,1914
39,female,163.3,55.5,medium,maintenance,1933
54,male,179.9,81.6,low,maintenance,2027
57,female,170.5,71.0,medium,maintenance,2035
44,female,164.9,63.1,low,maintenance,1614
58,male,175.3,82.3,medium,maintenance,2595
46,female,166.3,79.0,low,muscle_gain,1808
56,female,174.0,69.0,medium,maintenance,2084
64,male,175.5,86.4,low,weight_loss,1648
54,male,181.9,73.4,medium,weight_loss,2151
41,female,169.2,61.1,medium,weight_loss,1600
34,female,162.0,72.6,medium,weight_loss,1957
30,male,183.9,66.9,low,weight_loss,1679
23,female,156.2,73.1,medium,weight_loss,1770
18,male,173.8,83.3,medium,maintenance,2823
47,female,171.4,70.1,medium,weight_loss,1841
49,female,160.5,58.0,high,maintenance,1920
46,male,176.2,59.4,medium,maintenance,2346
30,female,193.3,72.8,medium,maintenance,2540
62,female,166.7,58.4,low,muscle_gain,1536
43,female,161.7,43.6,medium,weight_loss,1433
52,male,179.0,93.8,high,weight_loss,2564
24,male,195.0,68.5,medium,weight_loss,2431
47,female,168.7,66.4,high,weight_loss,1902
32,female,159.8,69.4,medium,muscle_gain,2329
23,male,188.4,83.1,medium,weight_loss,2535
52,male,179.5,62.9,low,weight_loss,1663
59,female,166.9,87.5,high,weight_loss,2072
64,male,174.8,79.9,low,weight_loss,1720
31,female,175.2,42.0,medium,maintenance,1760
37,female,167.3,79.8,medium,weight_loss,1934
63,female,178.0,74.5,high,weight_loss,1970
41,female,171.9,69.5,low,weight_loss,1449
18,male,193.0,68.1,medium,maintenance,2745
57,female,179.6,56.8,medium,weight_loss,1626
53,male,173.8,67.7,medium,muscle_gain,2445
42,female,159.7,51.6,medium,weight_loss,1412
40,male,180.7,104.2,low,weight_loss,2078
46,female,167.0,65.1,low,weight_loss,1308
27,female,165.6,73.6,medium,weight_loss,1971
64,male,178.0,69.9,low,weight_loss,1751
28,female,182.6,72.4,low,weight_loss,1616
59,female,179.5,70.7,high,weight_loss,2087
55,male,169.1,73.4,medium,maintenance,2333
52,female,168.0,69.1,high,maintenance,2258
50,male,180.4,74.8,medium,maintenance,2665
33,female,176.9,62.4,low,maintenance,1657
55,male,182.7,104.3,low,maintenance,2437
40,male,184.6,75.8,medium,weight_loss,2341
19,female,176.3,64.3,medium,weight_loss,2107
45,female,157.4,66.1,high,muscle_gain,2508
38,male,172.4,65.8,low,maintenance,1807
42,male,172.8,96.2,medium,maintenance,2871
52,male,181.3,102.6,medium,muscle_gain,3294
54,female,181.8,72.2,low,maintenance,1778
52,female,171.9,70.3,low,weight_loss,1372
32,female,173.1,81.0,low,weight_loss,1720
26,male,171.4,82.8,medium,weight_loss,2444
18,male,184.7,87.8,high,maintenance,3198
40,male,174.3,81.5,medium,muscle_gain,2813
63,female,163.6,73.2,high,maintenance,2091
36,male,178.4,73.4,medium,weight_loss,2216
47,female,171.8,74.4,low,weight_loss,1465
55,female,166.9,74.3,low,weight_loss,1443
56,male,167.6,59.2,medium,weight_loss,1857
63,male,179.6,95.2,medium,weight_loss,2263
23,female,169.2,86.0,medium,muscle_gain,2751
56,male,170.9,75.0,medium,muscle_gain,2520
41,female,161.7,73.6,high,maintenance,2456
35,female,165.7,52.0,medium,maintenance,1874
59,male,180.9,98.5,low,maintenance,2276
30,male,186.9,85.4,medium,maintenance,3066
24,female,170.6,69.2,low,maintenance,1799
36,male,180.5,68.3,low,maintenance,1873
61,female,167.7,94.1,low,maintenance,1855
45,male,175.7,82.6,low,maintenance,2130
27,female,170.1,103.4,medium,maintenance,2799
24,male,177.5,77.6,medium,weight_loss,2263
36,female,174.9,76.3,medium,weight_loss,1973
44,female,167.5,80.1,medium,weight_loss,1773
51,male,188.9,92.5,medium,weight_loss,2207
41,male,197.4,86.1,low,maintenance,2149
53,female,170.8,65.8,low,maintenance,1612
51,female,177.2,89.8,medium,muscle_gain,2816
48,female,181.2,60.8,low,maintenance,1627
40,female,167.1,53.8,high,weight_loss,1665
27,female,165.7,83.1,medium,weight_loss,1934
57,male,180.0,77.5,medium,maintenance,2527
52,female,175.7,76.3,medium,maintenance,2255
50,male,177.3,75.7,medium,muscle_gain,2662
45,female,165.9,54.6,low,muscle_gain,1584
36,female,177.2,77.4,low,muscle_gain,2076
37,female,158.4,66.0,low,maintenance,1580
51,male,188.7,97.5,medium,muscle_gain,3054
31,male,175.6,65.0,low,maintenance,1822
48,male,179.9,102.6,high,weight_loss,2953
63,male,174.6,56.9,low,maintenance,1578
59,male,179.9,55.2,low,maintenance,1765
28,male,172.9,87.6,medium,weight_loss,2265
62,female,161.7,70.3,medium,maintenance,1861
52,male,183.7,83.4,low,maintenance,2037
38,female,172.2,58.3,low,maintenance,1537
46,male,169.7,46.2,low,muscle_gain,1680
51,male,175.5,76.0,high,weight_loss,2402
49,female,158.0,76.8,high,weight_loss,1952
43,female,174.9,42.8,low,muscle_gain,1659
34,female,183.3,51.5,low,weight_loss,1286
63,male,187.7,75.5,high,maintenance,2718
64,female,169.3,43.1,low,muscle_gain,1289
64,male,184.3,83.8,low,weight_loss,1774
26,female,189.1,72.9,medium,maintenance,2576
58,female,180.0,59.7,medium,muscle_gain,2132
40,female,176.3,88.0,medium,muscle_gain,2789
